text,scene
Sara!,92
Hi.,92
I'll call you.,92
Tracy?!,92
What was that about?,92
I don't know. She just walked away.,92
"Well, she's always been a flake.",92
"Hey. I do so call, Mom. Geez.",93
"Well, actually, I was thinking I'd do Thanksgiving here and see you guys for Christmas.",93
"Ya know what, I'm at work, and I'm really getting slammed...",93
"I'll call you later, okay? Tell Dad I said hello. Bye.",93
Looks like it's just you and me tonight.,94
See how nice and warm it is in there?,96
"Hey, what's wrong?",97
Cuddles got out.,97
Oh no. In the dorm?,97
Outside.,97
What?!,97
"I was doing laundry... I took her with me... She jumped out of the bag and ran outside. I went after her, but... I'm so sorry.",97
Maybe she'll come back.,97
She won't.,97
I'm going to go find her.,97
Do you want me to help?,97
Maybe it's... just karma or something. We weren't allowed to keep her anyway.,98
You're not mad at me?,98
"It was an accident. It's just... stress after stress, you know?",98
Is something else wrong?,98
My parents really want me to come home for Thanksgiving.,98
You don't want to go?,98
It's not exactly the most festive holiday in the Matthews household. Emily died two days before Thanksgiving.,98
"I know I should be there with them, but it's like there's a ghost at the table.",98
You can come with me.,98
What?,98
"Yeah, spend Thanksgiving at my house.",98
Your folks wouldn't mind?,98
Please. Like they'd even notice.,98
"Okay, we'll see. Thanks.",98
"Your midterm designs are due Friday. Remember, class: Simplicity. Who founded our industry? Eve   when she handed Adam that fig leaf.",99
"Sara. Could I see you in my office, please?",99
Sure. I've got a class right now. But I'll come right after it.,99
"I don't think I need to tell you how impressed I've been with your work. Every year I go to Fashion Week in Paris. It's dazzling. The photo shoots... the parties... that incredible runway. When the first model bursts through the curtain and hits that catwalk? Sara, a roar goes up from that crowd that's like... nothing you've ever heard. The college allows me to take one student. All expenses paid.",100
"PROFESSOR ROBERTS  Full backstage access. Usually, it's a senior. But it doesn't have to be.",100
I'm not sure I understand. Are you saying what I think you're saying?,100
"I'm saying you have a shot. You'd have to earn it, Sara.",100
Of course. I'll do... anything.,100
I'd like to see more danger in your work. Your designs are always crisp; they're always clear. But they're a little... safe.,100
Don't be afraid to go to some of the...,100
PROFESSOR ROBERTS  darker places in here.,100
Okay...,100
"The best designers push the boundaries of what's... acceptable. They take chances. Do you like to take chances, Sara?",100
Sometimes.,100
So do I.,100
I can't believe you just did that.,100
"I took a chance, that's all. With a student that I trust.",100
I better go.,100
