text,scene
They think it might happen all at once.,53
"Hundreds of thousands have flocked to synagogues, churches and temples.",53
Ground forces are being assembled in countries throughout the globe...,53
I'm going to get back to the windows.,53
You guys okay?,53
"Some guy had a sign that said it was the end of the world. Nothing really bad is going to happen, is it Uncle Merrill?",53
Don't worry.,53
You sure right?,53
"You know about signs Morgan?  Not like the ones people write on. It's like if you poured a glass of milk and you dropped the glass by mistake and broke it before you could drink it.  Then you looked at the milk carton and saw that the milk was spoiled.  They're things that happen by chance or luck, but make you feel that someone's watching out for you.",53
I once had a bad dream and I couldn't wake up.  I kicked at the table next to my bed and something fell on me and I woke up.  It was a picture of mom.  She was smiling. It made me feel safe... You mean like that?,53
"Yeah, like that. I believe in signs Morgan.  I think there's someone watching out for us.  I got to believe he's going to make sure we're all right in the end.",53
Too many windows in the bedrooms. We don't have enough boards.,57
We'll have to board up the bedroom doors.,57
Where are we going to sleep?,57
The family room.,57
What about Isabelle?,57
"We'll keep her in the garage, after dinner.",57
I'll make sandwiches.,57
I want spaghetti?,57
We should eat fast Bo.,57
Spaghetti sounds great.,57
"What do you want, Morgan?",57
Anything?,57
French toast... and mashed potatoes.,57
Now we're talking. How about you Merrill?,57
Chicken Teriyaki.,57
Good choice... I'm going to have a cheeseburger with bacon. Extra bacon.,57
What's the matter with everyone? Eat.,59
I'm scared.,59
Me too.,59
I don't want to hear anymore talk like that.  And I don't want to see anymore faces like the ones I'm looking at. We are going to enjoy this meal. Nothing can stop us from enjoying this meal!  Enjoy!,59
Stop crying!,59
Don't yell at her!,59
"Fine, if you all don't want to eat, then I'm going to have some of everything.",59
This tastes so great.,59
It's happening.,59
Graham hurry.,61
"Did I ever tell you what everyone said when you were born, Bo?",62
"You came out of your momma and you didn't even cry.  You just opened your eyes and looked around at everybody.  Your eyes were so big and gorgeous, the ladies in the room gasped.",62
"They literally gasped. Then they go, ""She's like an angel.""  They said, ""We've never seen a baby so beautiful.""",62
And you know what else happened?,62
"When they put you on the table to clean you up, you looked at me and smiled.  They say babies that young can't smile... You smiled.",62
Let's go down now.,62
We forgot about Isabelle.,63
Should we turn off the lights?,63
They already know we're here.,63
Dad,63
Do you know what happened when you were born Morgan?,63
You came out and your momma kept bleeding.  The doctors rushed you out of the room before I could even see you.,63
They're on the roof.,63
"While they were trying to fix her up, all she kept asking about was you.",63
They're in the house.,63
"I wanted your momma to see you first.  She had dreamed about you her whole life. They waited till she felt better, then they brought you in.  They placed you right in her arms.  And she looked at you.  And you looked at her.  You just stared at each other for the longest time and then she said real soft, ""Hello Morgan, I'm you momma, you look just like I dreamed.""",63
The attic door.,63
This is a very temporary solution.,64
How temporary?,64
Twenty-two seconds.,64
Let go.,64
This is going to do nothing.,66
We have to go in the basement.,66
There's no way out of there.,66
"Did I ever tell you, I dislocated Uncle Merrill's arm?",66
Should we make a run for it out the back?,66
They're right behind the door.,66
He was only a year and half old.,66
What are you doing?,66
"He was trying to eat a second chocolate bar.  Your grandma said, ""No.""  He tried to take a bite, so I grabbed it.",66
I must have pulled his arm at an awkward angle.  His elbow popped right out of the socket.,66
He didn't scream or anything.  His arm just flopped to his side and he got real still.,66
They're coming.,66
I held him in my lap in the back seat as we drove to the hospital. I couldn't stop crying... We need to go into the basement now.,66
You know what your Uncle Merrill did right after the doctor put his arm back in place?  He jumped off the table and gave me a hug.  He had already forgotten that I was the one who hurt him.,66
We won't be able to get out of there.,66
I'm sorry I hurt your arm.,66
I know.,66
We forgot our foil helmets!,67
We need something to wedge against the doorknob.,67
They'll read our minds!,67
You're scaring your sister.,67
I'm already scared.,67
Merrill,67
I'm looking!,67
They'll know our secret thoughts.,67
Merrill!,67
Got it!,67
Dad!,67
Where's Bo?,67
I'm okay.,67
What's happening out there?,67
I can't even imagine.,67
I hope they're doing better than we are.  We don't even have helmets.,67
They're just making noises. They're not trying to get in. Why are they doing that?,67
They want our attention on the door?,67
They're distracting us?,67
From what?,67
The book says they're probably very good problem solvers.,67
What book!,67
They'll find a way in.,67
"Morgan, give me your flashlight.",67
Is there an air vent in here?,67
I can feel air.,67
Me too.,67
It's getting stronger.,67
I'm close.,67
What?,67
Hold the vent!,67
Pull him!,67
We don't have his medicine.,67
Don't be scared Morgan.  We'll slow it down together.  Feel my chest. Feel it going in and out.  Breathe like me.  Breathe like me.,67
He can't breathe.,67
Stay with me.  Stay with me.  I know it hurts.  Be strong baby... It'll pass.,67
Don't do this to me again.  Not again.,67
I hate you.  I hate you...,67
The fear is feeding it... Don't be afraid of what's happening... Believe it's going to pass... Believe it... Just wait... Don't be afraid... The air is coming... Believe... We don't have to be afraid... It's about to pass... Here it comes... Don't be afraid... Here comes the air...,67
There we go... We don't have to be scared at all... We know it'll pass.  We believe it... Don't be afraid Morgan.,67
Feel my chest... Breathe with me. Together... The air is going in our lungs... Together... We're the same.  We're the same.,67
I hate you.,67
I should save the flashlights.,67
"... Jordan, Saudi Arabia and Bahrain have also confirmed.",68
I found a pack of light bulbs.,68
... Parts of China and Northern Korea are among the few remaining to verify withdrawals.,68
They're broadcasting...,68
It came on about two hours ago. Woke me up. We won Graham.,68
It went on all night.  Everywhere. It was completely a ground battle. Mostly hand to hand.  You can't see them unless you're up close.  A lot of people died.  Some from combat. But most from poison gas inhalation.  They secrete it.,68
How many died?,68
They think over a hundred thousand. They're just estimates. But we held strong.,68
How do they know it's over?,68
A mass evacuation by them started about eight o'clock this morning. It's eleven now. They're leaving.,68
