text,scene
"Yes, Sergeant?",35
"Ever get separated from your unit again, I'll find you and shoot you myself.",35
"Yes, Sergeant.",35
"All right, let's get to the community center...",36
"Move! Grab Simmons! Go, go!",36
You guys are 2/5?,37
"2nd squad, 3rd platoon...",37
Where's the rest of your unit?,37
"This is it, Lieutenant. Everyone else is dead or missing.",37
"We were on the street, like, ten minutes and they ambushed us. As soon as we radioed for help, it's like they were everywhere...",37
"Medevac's incoming, lieutenant.",37
All right. Stay with us.,37
"Load the wounded. Sgt. Nantz, Cpl. Harris  let's find the civilians.",38
U.S. Marines! U.S. Marines!,39
How many of you?,39
There's five of us. Three kids.,39
Where? Where are the kids?,39
You called in with two wounded!,40
We got four!,40
Can't take four! We have no room!,40
Make goddamn room!,40
I'll work on that mix for you.,40
"Thanks, dude. Think I'm gonna need it.",40
You just had to get outta the shit. Lenihan smiles back.,40
Now! We're moving now!,40
"Wait! Stavrou, hold it! KIDS!",41
Goddamn flying saucers now...?!,42
All those guys on the chopper...,42
Why'd those bastards have to come down here and start this shit?!,42
"That is not relevant, Imlay! They're here. They're trying to kill us. Kill them first!",42
"Secure the perimeter! Stavrou, give me an ammo check. Cpl. Correggio, take three men, set up an Observation Post on the roof.",42
You heard the lieutenant. Move!,42
"They got air power, too... Knocked that medevac right out of the sky. So much for ruling the air.",42
"Listen, Sergeant. These men are scared. A little compassion would go a long way...",42
"How's that gonna help them survive, Lieutenant? I'll lead these marines. But don't ask me to get close to them.",42
"You're not gonna leave us, are you?",43
"No way, sweetheart.",43
"My son and I came here... There were only three cops, spread pretty thin... Then those things attacked. Police couldn't stop them.",43
What happened to everyone?,43
"I don't know. Most people ran. We hid in a side room, found Michele and the girls... Couldn't see what happened. Just heard... Screams.",43
I have my nieces for the week. My sister and her husband are in Hawaii for their anniversary... Is it safe there? I heard this is happening in other places...,43
What do they want from us? Why are they here?,43
"I...don't know. Right now, our job is just to get you to safety, okay?",43
"Lieutenant, something you should see...",43
Want some Nerds?,45
"Adukwu, bring your kit.",45
We're gonna cut one of these things open. See if we can figure out what makes 'em tick.,45
"Maybe I can help, sergeant. I'm a vet...",45
You're a veteran?,45
"No, a veterinarian.",45
"Oh... Okay. Well, thanks, um...",45
Michele.,45
Right. Michele. Sorry.,45
Sergeant. Can't raise anybody on the radio. We're cut off.,45
O.P. reporting. We're clear up here.,46
.fucking aliens.,46
"You think those things get scared? They're probably just grunts like us. Probably dumped into battle, told to go fight...",46
I thought I could handle it...,46
You are handling it. Thing I'm worried about is Nantz.,46
Sergeant saved our ass at that ambush... He knows what he's doing.,46
Yeah? Tell my brother that.,46
You sure you can do this?,47
I was more sure two minutes ago.,47
"What's the plan, Lieutenant?",47
"Mission is still to get the civilians to the Forward Operating Base. We've got a battalion there, all that firepower... I was thinking, I saw a bus couple of blocks back on 11th...",47
Maybe we should stay on foot.,47
