text,scene
"My soul belongs to God, I know, I made that bargain long ago. He gave me hope when hope was gone! He gave me strength to journey on! Who am I? Who am I? I'm Jean Valjean!",40
"And so, your honour, you see it's true That man bears no more guilt than you! Who am I? 24601!",41
If you don't believe me ask Inspector Javert. He knows where to find me.,41
"Monsieur le Mayor, you are not well, you must come with me, do you have a carriage outside? Monsieur le Mayor, we must get you home to bed immediately!!",41
Is her daughter with her?,42
"No, monsieur. Her guardian sent this.",42
`Money not enough. Send more. Thenardier.' What sort of man is this?,42
"Cosette, it's turned so cold! Cosette, it's past your bedtime! You've played the day away And soon it will be night.",43
"Come to me, Cosette, the light is fading.",43
"Don't you see, the evening star appearing? Come to me, and rest against my shoulder, How fast the minutes fly away and every minute colder?",43
"Dear Fantine, Cosette will be here soon! Dear Fantine, she will be by your side",43
"Come Cosette, the night has grown so cold!",43
Be at peace! Be at peace ever more.,43
My Cosette -,43
- shall live in my protection.,43
Take her now!,43
Your child will want for nothing.,43
"Good m'sieur, you come from God in heaven.",43
And none shall ever harm Cosette as long as I am living.,43
Take my hand... The night grows ever colder.,43
Then I will keep you warm.,43
Take my child I give her to your keeping.,43
Take shelter from the storm.,43
"For God's sake, please stay till I am sleeping... And tell Cosette I love her And I'll see her when I wake...",43
"Valjean, at last We see each other plain! `M'sieur le Mayor' You'll wear a different chain!",43
"Before you say another word, Javert, Before you chain me up like a slave again, Listen to me! There is something I must do. This woman leaves behind a suffering child. There is none but me who can intercede - In mercy's name, three days are all I need, Then I'll return, I pledge my word! Then I'll return...",43
You must think me mad! I've hunted you across the years. Men like you can never change - A man such as you!,43
Believe of me what you will There is a duty that I'm sworn to do. You know nothing of my life - All I did was steal some bread. You know nothing of the world - You would sooner see me dead. But not before I see this justice done!,43
"Men like me can never change. Men like you can never change. No, 24601! My duty is to the law. You have no rights. Come with me, 24601!",43
"I am warning you, Javert, I'm a stronger man by far! There is power in me yet! My race is not yet run!",43
Now the wheel has turned around - Jean Valjean is nothing now. Dare you talk to me of crime And the price you had to pay. Every man is born in sin Every man must choose his way.,43
You know nothing of Javert! I was born inside a jail. I was born with scum like you. I am from the gutter too.,43
And this I swear to you tonight -,44
There is no place for you to hide.,44
Your child will live within my care -,44
Wherever you may hide away -,44
And I will raise her to the light.,44
"I swear to you, I will be there!",44
"There is a castle on a cloud I like to go there in my sleep. Aren't any floors for me to sweep, Not in my castle on a cloud.",46
"There is a lady all in white Holds me and sings a lullaby. She's nice to see and she's soft to touch   She says, Cosette, I love you very much.",46
"I know   a place where no one's lost I know   a place where no one cries. Crying   at all is not allowed, Not in   my castle on a cloud.",46
"Now look who's here! The little madam herself, Pretending once again She's been so awfully good! Better not let me catch you slacking! Better not catch my eye! Ten rotten francs your mother sends me - What is that going to buy? Now take that pail, My little Mademoiselle, And go and draw some water from the well. We should never have taken you in In the first place - How stupid the things that we do! Like mother, like daughter, the scum of the street.",46
"Eponine, come my dear. Eponine, let me see you. You look very well in that little blue hat! There's some little girls who know how to behave And they know what to wear And I'm saying thank heaven for that!",46
"Still there, Cosette? Your tears will do you no good! I told you to fetch some water from the well in the wood.",46
Please do not send me out alone. Not in the darkness on my own.,46
"Enough of that, or I'll forget to be nice! You heard me ask for something, And I never ask twice!",46
"Mine host Thenardier He was there, so they say, At the field of Waterloo.",46
"Got there, it's true, When the fight was all through But he knew just what to do.",46
"Crawling through the mud, So I've heard it said,",46
Picking through the pockets of the English dead.,46
He made a tidy score from the spoils of war.,46
"My band of soaks, My den of dissolutes, My dirty jokes, my always pissed as newts, My sons of whores, Spend their lives in my inn! Homing pigeons homing in - They fly through my doors, And their money's as good as yours!",46
"Welcome, m'sieur! Sit yourself down And meet the best Innkeeper in town!",48
As for the rest - All of them crooks Rooking the guests And cooking the books. Seldom do you see Honest men like me A gent of good intent Who's content to be -,48
Master of the house! Doling out the charm Ready with a handshake And an open palm,48
Tells a saucy tale Makes a little stir Customers appreciate a bon-viveur Glad to do a friend a favour Doesn't cost me to be nice But nothing gets you nothing Everything has got a little price!,48
Master of the house! Keeper of the zoo! Ready to relieve'em Of a sou or two - Watering the wine,48
Making up the weight Picking up their knick-knacks When they can't see straight Everybody loves a landlord Everybody's bosom friend! I do whatever pleases - Jesus! Won't I bleed'em in the end!,50
Master of the house! Quick to catch your eye,51
Never wants a passer-by To pass him by!,51
"Servant to the poor Butler to the great Comforter, philosopher and lifelong mate Everybody's boon companion Everybody's chaperone -",52
But lock up your valises - Jesus! Won't I skin you to the bone!,52
"Enter, messieurs! Lay down yer load Unlace yer boots And rest from the road. This weighs a ton Travel's a curse But here we strive To lighten your purse.",52
Here the goose is cooked Here the fat is fried And nothing's overlooked Till I'm satisfied - Food beyond compare Food beyond belief,52
Mix it in a mincer And pretend it's beef Kidney of a horse,53
Liver of a cat Filling up the sausages With this and that!,53
Residents are more than welcome Bridal suite is occupied,54
Reasonable charges Plus some little extras on the side.,55
Charge'em for the lice Extra for the mice Two percent for looking in the mirror twice. Here a little slice There a little cut Three percent for sleeping with the window shut. When it comes to fixing prices There are lots of tricks he knows How it all increases All those bits and pieces - Jesus! It's amazing how it grows.,56
Master of the house! Quick to catch your eye Never wants a passer-by To pass him by!,57
"Servant to the poor Butler to the great Comforter, philosopher and lifelong mate Everybody's boon companion Gives'em everything he's got -",57
Dirty bunch of geezers Jesus! What a sorry little lot!,57
"I used to dream That I would meet a prince But God almighty Have you seen what's happened since? `Master of the house' Isn't worth my spit! Comforter, philosopher And lifelong shit! Cunning little brain Regular Voltaire Thinks he's quite a lover But there's not much there.",58
What a cruel trick of nature Landed me with such a louse. God knows how I've lasted Living with this bastard in the house!,58
Master of the house!,58
Master and a half!,58
"Comforter, philosopher -",58
Don't make me laugh!,58
Servant to the poor Butler to the great -,58
Hypocrite and toady And inebriate!,58
Everybody bless the landlord! Everybody bless his spouse!,58
Everybody raise a glass!,58
Raise it up the master's arse!,58
Everybody raise a glass to the master of the house!,58
"Hush now, do not be afraid of me. Don't cry. Show me where you live.",59
"Tell me, my child, what is your name?",59
I'm called Cosette.,59
Cosette?,59
"I found her wandering in the wood This little child, I found her trembling in the shadows. And I am here to help Cosette, And I will settle any debt you may think proper. I will pay what I must pay To take Cosette away.",60
"This is a duty I must heed. There is a promise I have made. For I was blind to one in need, I did not see what stood before me. Now your mother is with God. Her suffering is over, And I speak here with her voice, And I stand here in her place, and from this day, and ever more -",60
"Let me take your coat, m'sieur!",60
Cosette shall live in my protection.,60
You are very welcome here!,60
I will not forget my vow.,60
Take a glass!,60
Take a chair!,60
Cosette shall have a father now.,60
What to do? What to say Shall you carry our treasure away? What a gem! What a pearl! Beyond rubies is our little girl! How can we speak of debt? Let's not haggle for darling Colette!,60
Cosette!,60
"Cosette - Dear Fantine - gone to rest - Have we done for her child what is best? Shared our bread - shared each bone - Treated her like she's one of our own! Like our own, m'sieur!",60
"Your feelings do you credit, sir. And I will ease the parting blow. Let us not talk of bargains and bones and greed.",60
Now may I say we are agreed?,60
"That would quite fit the bill If she hadn't so often been ill. Little dear, cost us dear! Medicines are expensive, m'sieur. Not that we begrudged a sou - It's no more than we Christians must do.",60
One thing more! One small doubt! There are treacherous people about! No offence! Please reflect! Your intentions may not be correct!,60
"No more! Here's your price! Fifteen hundred for your sacrifice. Come, Cosette, say goodbye. Let's seek out some friendlier sky. Thank you both for Cosette - It won't take you too long to forget.",60
"Where I go, you will be.",61
Will you be like a Papa to me?,61
"Yes, Cosette! This is true! I'll be father and mother to you!",61
Not bad!,62
Not enough!,62
There's a copper at the door! What the devil have you done?,62
Where's the child Cosette?,62
"She's gone with a gent, Didn't tell us where they went, Didn't leave his home address.",62
Did you catch the fellow's name?,62
You're a bloody fool Look at what we got.,62
"Should have struck the iron, Struck it while it's hot.",62
Next time round we'll be here And we're gonna get the lot.,62
Suddenly I see Suddenly it starts When two anxious hearts Beat as one. Yesterday I was alone Today you walk beside me Something still unclear Something not yet here Has begun. Suddenly the world Seems a different place Somehow full of grace,63
And delight.,63
How was I to know That so much love Was held inside me? Something fresh and young Something still unsung Fills the night.,63
How was I to know at last That happiness can come so fast? Trusting me the way you do I'm so afraid of failing you Just a child who cannot know That danger follows where I go There are shadows everywhere And memories I cannot share,63
Nevermore alone Nevermore apart You have warmed my heart Like the sun. You have brought the gift of life And love so long denied me.,63
Suddenly I see What I could not see Something suddenly Has begun.,63
Te lucis ante terminum Rerum Creator poscimus Ut pro tua clementia Sis praesul et custodia...,68
Procul recedant somnia Et noctium phantasmata,69
Hostemque nostrum comprime Ne polluantur corpora...,69
Who's that?,69
"Why, it's Monsieur Mayor!",69
Who are you?,69
Don't you remember? The cart fell on me!,69
Monsieur Fauchelevent!,69
You saved my life! You got me this job as a gardener!,69
"Now you can do the same for me. We need a place of sanctuary. This child and I, we need to disappear.",69
